location_id,location_name,city,state,country,source
LOC_0071,Mumbai Tech Park,Mumbai,Maharashtra,India,synthetic
LOC_0072,Patna Main Road,Patna,Bihar,India,synthetic
LOC_0073,Pune Railway Road,Pune,Maharashtra,India,synthetic
LOC_0074,Pune Railway Road,Pune,Maharashtra,India,synthetic
LOC_0075,Surat Railway Road,Surat,Gujarat,India,synthetic
LOC_0076,Ahmedabad Railway Road,Ahmedabad,Gujarat,India,synthetic
LOC_0077,Delhi Tech Park,Delhi,Delhi,India,synthetic
LOC_0078,Delhi Sector,Delhi,Delhi,India,synthetic
LOC_0079,Ahmedabad Market,Ahmedabad,Gujarat,India,synthetic
LOC_0080,Lucknow Tech Park,Lucknow,Uttar Pradesh,India,synthetic
LOC_0081,Haridwar Sector,Haridwar,Uttarakhand,India,synthetic
LOC_0082,Chandigarh Tech Park,Chandigarh,Chandigarh,India,synthetic
LOC_0083,Hyderabad Bus Stand,Hyderabad,Telangana,India,synthetic
LOC_0084,Lucknow Tech Park,Lucknow,Uttar Pradesh,India,synthetic
